time,temperature_2m
2025-07-19T00:00,18.3
2025-07-19T01:00,17.8
2025-07-19T02:00,17.4
2025-07-19T03:00,16.9
2025-07-19T04:00,16.5
2025-07-19T05:00,17.1
2025-07-19T06:00,18.5
2025-07-19T07:00,20.6
2025-07-19T08:00,22.6
2025-07-19T09:00,23.8
2025-07-19T10:00,24.7
2025-07-19T11:00,25.7
2025-07-19T12:00,26.2
2025-07-19T13:00,26.7
2025-07-19T14:00,27.0
2025-07-19T15:00,27.1
2025-07-19T16:00,27.1
2025-07-19T17:00,27.0
2025-07-19T18:00,26.5
2025-07-19T19:00,25.5
2025-07-19T20:00,24.5
2025-07-19T21:00,23.5
2025-07-19T22:00,22.7
2025-07-19T23:00,21.9
2025-07-20T00:00,21.0
2025-07-20T01:00,20.5
2025-07-20T02:00,19.8
2025-07-20T03:00,19.3
2025-07-20T04:00,19.0
2025-07-20T05:00,19.4
2025-07-20T06:00,20.3
2025-07-20T07:00,21.7
2025-07-20T08:00,23.6
2025-07-20T09:00,25.2
2025-07-20T10:00,26.4
2025-07-20T11:00,27.4
2025-07-20T12:00,27.8
2025-07-20T13:00,27.7
2025-07-20T14:00,27.9
2025-07-20T15:00,28.1
2025-07-20T16:00,27.9
2025-07-20T17:00,27.1
2025-07-20T18:00,26.6
2025-07-20T19:00,25.7
2025-07-20T20:00,24.6
2025-07-20T21:00,23.5
2025-07-20T22:00,22.7
2025-07-20T23:00,22.0
2025-07-21T00:00,21.5
2025-07-21T01:00,21.6
2025-07-21T02:00,21.2
2025-07-21T03:00,20.8
2025-07-21T04:00,20.6
2025-07-21T05:00,21.1
2025-07-21T06:00,22.3
2025-07-21T07:00,23.1
2025-07-21T08:00,23.8
2025-07-21T09:00,24.7
2025-07-21T10:00,26.0
2025-07-21T11:00,26.7
2025-07-21T12:00,25.0
2025-07-21T13:00,23.3
2025-07-21T14:00,22.3
2025-07-21T15:00,21.6
2025-07-21T16:00,20.8
2025-07-21T17:00,20.1
2025-07-21T18:00,19.6
2025-07-21T19:00,19.4
2025-07-21T20:00,19.3
2025-07-21T21:00,19.1
2025-07-21T22:00,19.0
2025-07-21T23:00,18.8
2025-07-22T00:00,18.6
2025-07-22T01:00,18.2
2025-07-22T02:00,17.8
2025-07-22T03:00,17.5
2025-07-22T04:00,17.4
2025-07-22T05:00,17.5
2025-07-22T06:00,17.9
2025-07-22T07:00,18.6
2025-07-22T08:00,19.6
2025-07-22T09:00,20.4
2025-07-22T10:00,20.7
2025-07-22T11:00,20.9
2025-07-22T12:00,20.9
2025-07-22T13:00,21.0
2025-07-22T14:00,20.9
2025-07-22T15:00,20.8
2025-07-22T16:00,20.5
2025-07-22T17:00,20.1
2025-07-22T18:00,19.6
2025-07-22T19:00,19.1
2025-07-22T20:00,18.6
2025-07-22T21:00,18.2
2025-07-22T22:00,17.9
2025-07-22T23:00,17.7
2025-07-23T00:00,17.6
2025-07-23T01:00,17.3
2025-07-23T02:00,17.1
2025-07-23T03:00,17.1
2025-07-23T04:00,17.3
2025-07-23T05:00,17.7
2025-07-23T06:00,18.3
2025-07-23T07:00,19.3
2025-07-23T08:00,20.4
2025-07-23T09:00,21.4
2025-07-23T10:00,22.1
2025-07-23T11:00,22.5
2025-07-23T12:00,23.0
2025-07-23T13:00,23.6
2025-07-23T14:00,24.2
2025-07-23T15:00,24.5
2025-07-23T16:00,24.3
2025-07-23T17:00,23.8
2025-07-23T18:00,23.5
2025-07-23T19:00,19.4
2025-07-23T20:00,18.4
2025-07-23T21:00,17.5
2025-07-23T22:00,16.9
2025-07-23T23:00,16.5
2025-07-24T00:00,16.0
2025-07-24T01:00,15.5
2025-07-24T02:00,15.0
2025-07-24T03:00,14.8
2025-07-24T04:00,15.2
2025-07-24T05:00,15.8
2025-07-24T06:00,16.7
2025-07-24T07:00,17.9
2025-07-24T08:00,19.3
2025-07-24T09:00,20.4
2025-07-24T10:00,21.0
2025-07-24T11:00,21.4
2025-07-24T12:00,21.6
2025-07-24T13:00,21.9
2025-07-24T14:00,22.1
2025-07-24T15:00,21.9
2025-07-24T16:00,21.3
2025-07-24T17:00,20.4
2025-07-24T18:00,19.5
2025-07-24T19:00,18.8
2025-07-24T20:00,18.1
2025-07-24T21:00,17.6
2025-07-24T22:00,17.1
2025-07-24T23:00,16.8
2025-07-25T00:00,16.5
2025-07-25T01:00,16.3
2025-07-25T02:00,16.2
2025-07-25T03:00,16.2
2025-07-25T04:00,16.1
2025-07-25T05:00,16.1
2025-07-25T06:00,16.5
2025-07-25T07:00,17.6
2025-07-25T08:00,19.2
2025-07-25T09:00,20.5
2025-07-25T10:00,21.2
2025-07-25T11:00,21.6
2025-07-25T12:00,21.9
2025-07-25T13:00,22.2
2025-07-25T14:00,22.4
2025-07-25T15:00,22.3
2025-07-25T16:00,21.7
2025-07-25T17:00,20.8
2025-07-25T18:00,19.9
2025-07-25T19:00,19.2
2025-07-25T20:00,18.5
2025-07-25T21:00,17.9
2025-07-25T22:00,17.7
2025-07-25T23:00,17.6
